[2025-07-31 12:17:56] SYSTEM_CONFIG_CHANGED | Configurações do Sistema | Configurações do sistema alteradas por jreis (OpenAI: false, Ollama: false) | jreis
[2025-07-31 13:04:32] USER_MADE_ADMIN | Novo Admin | Utilizador 'jreis' foi tornado administrador por a1 | a1
[2025-07-31 13:17:08] USER_REGISTER | Novo Utilizador | Novo utilizador com email 'maria@gmail.com' registado no sistema | maria@gmail.com
[2025-07-31 13:17:35] USER_REGISTER | Novo Utilizador | Novo utilizador com email 'reis2@gmail.com' registado no sistema | reis2@gmail.com
[2025-07-31 13:17:48] USER_REGISTER | Novo Utilizador | Novo utilizador com email 'reis1@gmail.com' registado no sistema | reis1@gmail.com
[2025-07-31 13:18:12] USER_REGISTER | Novo Utilizador | Novo utilizador com email 'dssdsdsd@gmail.com' registado no sistema | dssdsdsd@gmail.com
[2025-07-31 14:50:33] SYSTEM_CONFIG_CHANGED | Configurações do Sistema | Configurações do sistema alteradas por a1 (OpenAI: false, Ollama: false) | a1
[2025-07-31 14:50:44] SYSTEM_CONFIG_CHANGED | Configurações do Sistema | Configurações do sistema alteradas por a1 (OpenAI: true, Ollama: false) | a1
[2025-07-31 14:50:56] LLM_TEMPORARILY_DISABLED | LLM Desligado Temporariamente | Modelo OPENAI desligado temporariamente até 2025-07-31T14:51 por a1 | a1
[2025-07-31 14:54:33] LLM_TEMPORARY_DISABLE_REMOVED | Desligamento Temporário Removido | Desligamento temporário removido para o modelo OPENAI por jreis | jreis
[2025-07-31 14:54:46] SYSTEM_CONFIG_CHANGED | Configurações do Sistema | Configurações do sistema alteradas por jreis (OpenAI: true, Ollama: false) | jreis
[2025-07-31 15:00:57] LLM_TEMPORARILY_DISABLED | LLM Desligado Temporariamente | Modelo OPENAI desligado temporariamente até 2025-07-31T15:02 por jreis | jreis
[2025-07-31 15:02:50] LLM_AUTO_REACTIVATED | LLM Reativada Automaticamente | Modelo OpenAI foi automaticamente reativado após expiração do desligamento temporário | sistema
[2025-07-31 15:17:07] LLM_TEMPORARILY_DISABLED | LLM Desligado Temporariamente | Modelo OPENAI desligado temporariamente até 2025-07-31T15:18 por a1 | a1
[2025-07-31 15:18:27] LLM_AUTO_REACTIVATED | LLM Reativada Automaticamente | Modelo OpenAI foi automaticamente reativado para o estado original (ativado) após expiração do desligamento temporário | sistema
[2025-07-31 15:40:13] LLM_TEMPORARILY_DISABLED | LLM Desligado Temporariamente | Modelo OLLAMA desligado temporariamente até 2025-07-31T15:42 por a1 | a1
[2025-07-31 15:42:04] LLM_AUTO_REACTIVATED | LLM Reativada Automaticamente | Modelo Ollama foi automaticamente reativado para o estado original (desativado) após expiração do desligamento temporário | sistema
[2025-07-31 15:42:53] LLM_TEMPORARILY_DISABLED | LLM Desligado Temporariamente | Modelo OPENAI desligado temporariamente até 2025-07-31T15:44 por a1 | a1
[2025-07-31 15:44:04] LLM_AUTO_REACTIVATED | LLM Reativada Automaticamente | Modelo OpenAI foi automaticamente reativado para o estado original (ativado) após expiração do desligamento temporário | sistema
[2025-07-31 15:45:30] SYSTEM_CONFIG_CHANGED | Configurações do Sistema | Configurações do sistema alteradas por a1 (OpenAI: false, Ollama: false) | a1
